Table S1. List of candidate imprinted genes identified in this study for Arabidopsis. Genes are sorted with decreasing probability of being imprinted in Gehring, Hsieh, and Pignatta datasets. Wolff is listed as additional information.																												
	Gehring						Hsieh						Pignatta						Combined (Gehring, Hsieh, Pignatta)				Wolff					
AT4G14030	3.01	6.82E-22	7.66E-20	MEG	90.08	101	1.60	6.51E-08	3.38E-06	MEG	71.80	150	3.38	1.49E-07	9.04E-06	MEG	91.93	235	2.93E-33	162.0	AT4G14030.1	selenium-binding protein 1	8.46	4.69E-15	4.86E-14	MEG	98.62	1336
AT5G18130	6.37	1.70E-12	9.78E-11	MEG	97.59	197	2.99	1.13E-19	1.37E-17	MEG	89.92	64	4.39	1.45E-07	8.79E-06	MEG	95.07	234	1.39E-35	165.0	AT5G18130.1		5.67	0.003014515	0.007525946	MEG	96.98	5538
AT5G42650	6.67	1.55E-13	1.01E-11	MEG	97.80	175	1.80	7.02E-09	4.00E-07	MEG	76.45	136.5	5.34	2.50E-09	1.92E-07	MEG	96.61	186	8.64E-28	165.8	AT5G42650.1	allene oxide synthase	6.27	2.29E-32	5.64E-31	MEG	97.52	562
AT1G23205	4.13	2.82E-20	2.91E-18	MEG	94.45	110	0.99	0.000125841	0.004002246	MEG	49.36	244.5	4.53	5.02E-11	4.73E-09	MEG	95.36	151	7.28E-32	168.5	AT1G23205.1	Plant invertase/pectin methylesterase inhibitor superfamily protein	NA	NA	NA	NA	NA	6913
AT1G57820	-1.83	5.36E-16	4.27E-14	PEG	76.91	142.5	-1.33	2.73E-06	0.000114424	PEG	63.96	186	-2.13	1.49E-09	1.18E-07	PEG	81.96	179	1	169.2	AT1G57820.1	Zinc finger (C3HC4-type RING finger) family protein	-2.21	2.79E-56	1.42E-54	PEG	83.02	272
AT5G13400	3.65	2.19E-10	1.06E-08	MEG	93.03	235	2.61	2.01E-06	8.73E-05	MEG	87.16	179.5	6.61	5.84E-15	7.55E-13	MEG	97.76	110	8.15E-28	174.8	AT5G13400.1	Major facilitator superfamily protein	3.65	5.68E-13	5.01E-12	MEG	93.00	1570
AT4G36790	6.46	4.59E-11	2.38E-09	MEG	97.66	219	3.78	1.43E-06	6.38E-05	MEG	93.46	175	7.65	2.13E-12	2.27E-10	MEG	98.32	134	3.96E-26	176.0	AT4G36790.1	Major facilitator superfamily protein	NA	NA	NA	NA	NA	6913
AT1G19700	2.73	2.83E-15	2.08E-13	MEG	88.17	154	3.91	2.57E-21	3.57E-19	MEG	93.86	56	2.37	4.11E-05	0.001751259	MEG	84.86	334	1.65E-37	181.3	AT1G19700.1	BEL1-like homeodomain 10	4.21	2.96E-08	1.68E-07	MEG	94.65	2428
AT4G35840	6.35	9.62E-11	4.80E-09	MEG	97.58	227	4.39	9.99E-11	6.65E-09	MEG	95.06	117	3.95	3.06E-08	2.03E-06	MEG	93.98	214	8.11E-26	186.0	AT4G35840.1	RING/U-box superfamily protein	8.50	1.24E-15	1.34E-14	MEG	98.64	1276
AT1G63000	2.12	5.10E-18	4.67E-16	MEG	81.85	124	1.09	0.000121098	0.003883105	MEG	54.46	243	1.94	1.54E-08	1.06E-06	MEG	79.01	207	2.90E-27	191.3	AT1G63000.1	nucleotide-rhamnose synthase/epimerase-reductase	NA	NA	NA	NA	NA	6913
AT1G51000	6.80	1.01E-12	5.98E-11	MEG	97.89	191.5	4.46	0.00036672	0.009956397	MEG	95.22	287	9.72	1.04E-15	1.48E-13	MEG	98.95	100	1.29E-28	192.8	AT1G51000.1		9.48	3.68E-28	7.86E-27	MEG	98.90	648
AT4G39210	2.77	4.32E-17	3.68E-15	MEG	88.46	133	2.63	6.34E-13	5.10E-11	MEG	87.34	97	2.28	6.85E-05	0.002786014	MEG	83.82	349.5	7.22E-31	193.2	AT4G39210.1	Glucose-1-phosphate adenylyltransferase family protein	3.67	1.14E-68	7.76E-67	MEG	93.08	203
AT3G22910	2.46	1.84E-13	1.18E-11	MEG	85.82	177	2.22	1.29E-13	1.05E-11	MEG	83.10	96	2.46	2.40E-05	0.001101587	MEG	85.82	310	1.88E-28	194.3	NA	NA	1.92	0.000178582	0.000574739	MEG	78.71	4296
AT5G23240	6.38	2.22E-11	1.17E-09	MEG	97.60	216	3.79	4.53E-07	2.21E-05	MEG	93.48	160	8.23	2.54E-08	1.70E-06	MEG	98.54	213	5.69E-23	196.3	AT5G23240.1	DNAJ heat shock N-terminal domain-containing protein	NA	NA	NA	NA	NA	6913
AT3G45090	-2.11	6.59E-16	5.19E-14	PEG	81.66	144	-1.37	9.98E-06	0.000386802	PEG	65.28	201	-2.20	6.86E-07	3.92E-05	PEG	82.86	249	1	198.0	AT3G45090.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-0.61	6.81E-05	0.000237933	PEG	26.81	3958
AT5G18550	3.69	9.52E-09	4.00E-07	MEG	93.14	270	4.50	5.39E-50	2.00E-47	MEG	95.29	21	2.70	2.15E-05	0.001001927	MEG	87.95	305	1.46E-59	198.7	AT5G18550.1	Zinc finger C-x8-C-x5-C-x3-H type family protein	1.14	0.013805958	0.028777502	MEG	56.66	6633
AT1G62790	3.10	9.04E-16	6.98E-14	MEG	90.59	147	2.81	8.76E-06	0.000344641	MEG	88.75	198	3.84	5.92E-06	0.000304994	MEG	93.66	276	1.10E-23	207.0	AT1G62790.1	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	6.12	0.000469936	0.001401193	MEG	97.40	4636.5
AT4G30470	2.15	6.17E-12	3.45E-10	MEG	82.26	202.5	2.13	1.04E-12	8.04E-11	MEG	81.95	101	2.86	3.43E-05	0.001485551	MEG	89.11	329	6.15E-26	210.8	AT4G30470.1	NAD(P)-binding Rossmann-fold superfamily protein	5.00	6.18E-35	1.72E-33	MEG	96.15	497
AT3G18490	1.62	5.37E-23	6.41E-21	MEG	72.29	95	0.99	0.000101973	0.003377254	MEG	49.53	235.5	1.45	2.01E-05	0.000944086	MEG	67.75	303	3.81E-29	211.2	NA	NA	5.27	6.34E-66	4.11E-64	MEG	96.53	213
AT4G25640	1.66	1.99E-17	1.73E-15	MEG	73.46	131	1.16	8.33E-10	5.24E-08	MEG	57.21	124	1.30	0.000169305	0.006342034	MEG	62.67	379.5	8.90E-28	211.5	AT4G25640.1	detoxifying efflux carrier 35	4.97	5.54E-143	1.53E-140	MEG	96.10	50
AT2G36560	-4.42	1.83E-10	8.99E-09	PEG	95.12	231	-4.84	1.88E-23	2.93E-21	PEG	95.90	50	-6.12	8.39E-05	0.003363805	PEG	97.40	355	1	212.0	NA	NA	-9.42	2.40E-71	1.70E-69	PEG	98.89	196
AT2G22620	1.85	4.67E-14	3.14E-12	MEG	77.41	169	1.80	2.60E-16	2.47E-14	MEG	76.50	82	1.71	0.000191215	0.007063381	MEG	74.60	385.5	8.88E-31	212.2	AT2G22620.1	Rhamnogalacturonate lyase family protein	2.38	2.10E-29	4.63E-28	MEG	85.02	629
AT1G43640	5.75	9.75E-09	4.08E-07	MEG	97.06	271	7.11	1.07E-23	1.77E-21	MEG	98.06	47	8.15	2.81E-05	0.001251054	MEG	98.52	320	1.32E-33	212.7	AT1G43640.1	tubby like protein 5	9.22	8.71E-22	1.38E-20	MEG	98.84	874
AT4G12910	2.83	1.01E-12	5.98E-11	MEG	88.87	191.5	4.56	8.40E-13	6.61E-11	MEG	95.41	99	3.69	6.85E-05	0.002786014	MEG	93.17	349.5	1.69E-26	213.3	AT4G12910.1	serine carboxypeptidase-like 20	7.02	3.45E-242	5.30E-239	MEG	98.01	9
AT1G70140	2.86	1.76E-11	9.31E-10	MEG	89.12	214	1.97	5.27E-14	4.37E-12	MEG	79.57	94	3.17	4.69E-05	0.001950626	MEG	90.97	342	1.27E-26	216.7	AT1G70140.1	formin 8	1.12	0.003980138	0.009607086	MEG	55.57	5728
AT3G23810	6.28	2.06E-11	1.09E-09	MEG	97.53	215	5.46	5.43E-09	3.18E-07	MEG	96.75	133	5.33	2.71E-05	0.001218923	MEG	96.59	316	6.23E-22	221.3	NA	NA	2.72	2.84E-07	1.44E-06	MEG	88.09	2717
AT1G67820	-1.61	6.17E-12	3.45E-10	PEG	72.14	202.5	-1.39	8.53E-07	4.03E-05	PEG	66.03	165	-1.64	1.73E-05	0.000819495	PEG	72.91	298.5	1	222.0	AT1G67820.1	Protein phosphatase 2C family protein	-2.92	6.14E-31	1.44E-29	PEG	89.52	591
AT2G05914	6.80	1.27E-14	8.82E-13	MEG	97.88	163	3.43	0.00632696	0.105162385	MEG	92.19	470	10.95	1.14E-29	4.65E-27	MEG	99.17	35	6.55E-43	222.7	AT2G05914.1		NA	NA	NA	NA	NA	6913
AT1G62800	5.28	2.33E-06	7.10E-05	MEG	96.54	372	5.29	2.68E-07	1.34E-05	MEG	96.55	156	8.85	7.27E-11	6.72E-09	MEG	98.74	154	8.44E-21	227.3	AT1G62800.1	aspartate aminotransferase 4	6.70	2.48E-39	8.08E-38	MEG	97.82	424
AT3G45870	5.04	5.82E-13	3.59E-11	MEG	96.22	184	2.88	7.85E-17	7.65E-15	MEG	89.22	80	3.28	0.000481122	0.016184109	MEG	91.51	423	7.94E-30	229.0	AT3G45870.1	nodulin MtN21 /EamA-like transporter family protein	1.47	0.198683241	0.274968682	MEG	68.32	9990.5
AT2G06050	4.90	7.49E-14	5.00E-12	MEG	96.00	170	2.29	2.10E-07	1.06E-05	MEG	83.95	154	3.11	0.000111013	0.004292386	MEG	90.65	368	3.64E-22	230.7	AT2G06050.1	oxophytodienoate-reductase 3	5.87	9.77E-25	1.81E-23	MEG	97.18	746
AT4G21620	7.46	2.17E-18	2.05E-16	MEG	98.23	120	3.68	0.002229376	0.047076691	MEG	93.11	368.5	5.21	1.36E-08	9.43E-07	MEG	96.45	205	1.90E-26	231.2	AT4G21620.1	glycine-rich protein	NA	NA	NA	NA	NA	6913
AT3G50060	1.77	1.47E-11	7.94E-10	MEG	75.91	210	2.25	1.84E-05	0.000692921	MEG	83.51	207	1.86	9.14E-06	0.000452961	MEG	77.63	287	3.95E-19	234.7	AT3G50060.1	myb domain protein 77	1.36	2.77E-06	1.22E-05	MEG	64.86	3132
AT4G26590	3.00	3.27E-13	2.05E-11	MEG	89.99	181	1.10	0.004067371	0.074396608	MEG	54.55	426	5.55	4.47E-16	6.49E-14	MEG	96.86	98	1.96E-28	235.0	AT4G26590.1	oligopeptide transporter 5	8.32	1.91E-114	3.30E-112	MEG	98.58	80
AT5G10950	-2.55	9.79E-08	3.65E-06	PEG	86.67	304	-2.03	1.09E-11	7.81E-10	PEG	80.51	109	-2.71	1.27E-05	0.000620402	PEG	88.02	292	1	235.0	AT5G10950.1	Tudor/PWWP/MBT superfamily protein	-1.25	6.45E-15	6.59E-14	PEG	61.16	1354
AT3G11000	4.21	5.24E-16	4.22E-14	MEG	94.67	141	1.72	6.98E-05	0.002385643	MEG	74.66	228	2.86	4.50E-05	0.001893383	MEG	89.10	338	3.44E-22	235.7	NA	NA	2.40	0.001161164	0.003199332	MEG	85.18	5018
AT5G66330	4.00	2.25E-16	1.86E-14	MEG	94.11	137	3.78	0.001724039	0.038602628	MEG	93.47	348	3.35	6.27E-08	3.98E-06	MEG	91.80	224	5.85E-24	236.3	AT5G66330.1	Leucine-rich repeat (LRR) family protein	5.87	6.24E-17	7.35E-16	MEG	97.18	1173
AT3G28340	3.47	1.90E-17	1.66E-15	MEG	92.33	130	2.66	0.003657207	0.068667366	MEG	87.65	414.5	4.01	6.42E-10	5.31E-08	MEG	94.14	172	1.30E-26	238.8	NA	NA	1.10	0.08434069	0.136785265	MEG	54.73	8525
AT4G25870	1.57	5.40E-09	2.30E-07	MEG	71.23	266	1.29	3.71E-08	1.98E-06	MEG	62.35	145.5	1.50	2.30E-05	0.00106471	MEG	69.23	308	7.19E-19	239.8	AT4G25870.1	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	1.68	4.95E-25	9.29E-24	MEG	73.88	737
AT4G18150	3.40	1.49E-08	6.07E-07	MEG	92.03	279	5.20	7.34E-50	2.60E-47	MEG	96.43	22	3.68	0.000451585	0.015299052	MEG	93.13	420	6.23E-58	240.3	AT4G18150.1	Kinase-related protein of unknown function (DUF1296)	-2.01	0.035676431	0.065768311	PEG	80.23	7500
AT5G07220	3.02	8.07E-11	4.07E-09	MEG	90.12	225	1.71	2.17E-08	1.21E-06	MEG	74.47	140	3.16	8.53E-05	0.003410991	MEG	90.90	356	2.66E-20	240.3	AT5G07220.1	BCL-2-associated athanogene 3	8.39	2.62E-12	2.18E-11	MEG	98.60	1662.5
AT1G65590	3.56	6.53E-13	3.98E-11	MEG	92.68	186	1.76	0.001558629	0.035511228	MEG	75.66	342	5.34	1.11E-07	6.75E-06	MEG	96.61	233	2.02E-20	253.7	AT1G65590.1	beta-hexosaminidase 3	5.34	0.00766678	0.017238723	MEG	96.62	6149
AT1G21400	2.77	1.33E-08	5.50E-07	MEG	88.47	275	1.78	6.23E-09	3.62E-07	MEG	76.07	134	2.80	9.52E-05	0.003782502	MEG	88.72	358	1.20E-18	255.7	AT1G21400.1	Thiamin diphosphate-binding fold (THDP-binding) superfamily protein	10.14	5.72E-43	2.02E-41	MEG	99.04	392
AT5G48650	1.42	5.83E-09	2.48E-07	MEG	66.89	267	1.67	1.82E-10	1.19E-08	MEG	73.57	119	1.24	0.000216088	0.007803847	MEG	60.66	394	4.01E-20	260.0	AT5G48650.1	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain	3.04	3.24E-44	1.19E-42	MEG	90.24	377
AT3G03150	1.63	6.19E-11	3.19E-09	MEG	72.56	220	1.22	0.000352319	0.009647707	MEG	59.86	284.5	1.67	1.62E-05	0.000779065	MEG	73.61	295	4.57E-17	266.5	NA	NA	NA	NA	NA	NA	NA	6913
AT5G37560	6.42	8.22E-13	4.96E-11	MEG	97.63	188	2.69	0.002461354	0.049944982	MEG	87.86	384	7.73	8.50E-08	5.26E-06	MEG	98.35	230	3.04E-20	267.3	AT5G37560.1	RING/U-box superfamily protein	0.33	0.802376337	0.845166482	MEG	9.69	13126
AT5G58930	1.99	2.98E-09	1.29E-07	MEG	79.89	263	1.87	4.58E-08	2.43E-06	MEG	77.85	147	1.89	0.000298068	0.010498046	MEG	78.18	404	5.80E-18	271.3	AT5G58930.1	Protein of unknown function (DUF740)	3.42	8.39E-11	6.12E-10	MEG	92.14	1896
AT4G36640	4.63	3.53E-10	1.68E-08	MEG	95.54	238	4.88	2.04E-06	8.77E-05	MEG	95.97	181	3.29	0.000252018	0.009032653	MEG	91.54	397	2.42E-17	272.0	AT4G36640.1	Sec14p-like phosphatidylinositol transfer family protein	NA	NA	NA	NA	NA	6913
AT1G75680	1.36	3.43E-17	2.95E-15	MEG	65.06	132	0.95	0.000165274	0.005030526	MEG	47.58	256	1.19	0.000571806	0.018921458	MEG	58.70	430	6.63E-22	272.7	AT1G75680.1	glycosyl hydrolase 9B7	3.01	2.91E-10	2.01E-09	MEG	90.08	2004
AT4G20320	3.08	6.68E-11	3.41E-09	MEG	90.48	222	0.99	0.003806004	0.070275793	MEG	49.27	422	4.25	1.15E-08	8.15E-07	MEG	94.75	201.5	4.65E-19	281.8	AT4G20320.1	CTP synthase family protein	10.18	1.75E-44	6.45E-43	MEG	99.05	375
AT1G19970	3.62	7.38E-09	3.11E-07	MEG	92.89	269	2.95	2.40E-08	1.33E-06	MEG	89.70	141	3.28	0.000669047	0.02153818	MEG	91.50	441	1.61E-17	283.7	AT1G19970.1	ER lumen protein retaining receptor family protein	NA	NA	NA	NA	NA	6913
AT1G26930	5.00	2.46E-05	0.000630851	MEG	96.15	442	4.40	1.26E-22	1.92E-20	MEG	95.09	51	6.92	0.00010524	0.004125226	MEG	97.95	363	1.09E-28	285.3	AT1G26930.1	Galactose oxidase/kelch repeat superfamily protein	5.94	1.03E-23	1.80E-22	MEG	97.25	791
AT4G11940	-4.75	1.35E-06	4.27E-05	PEG	95.75	358	-4.43	2.14E-06	9.16E-05	PEG	95.14	183	-7.70	6.61E-05	0.002704146	PEG	98.34	348	1	296.3	AT4G11940.1		-5.85	1.17E-34	3.21E-33	PEG	97.16	502
AT1G60220	-2.12	6.22E-10	2.87E-08	PEG	81.78	246	-1.38	7.96E-11	5.40E-09	PEG	65.58	115	-1.99	0.003112615	0.082665001	PEG	79.80	535.5	0.999999999	298.8	AT1G60220.1	UB-like protease 1D	-0.55	0.003055567	0.007617431	PEG	23.03	5546
AT4G16380	1.72	4.11E-08	1.61E-06	MEG	74.70	289	1.40	0.000292657	0.008262248	MEG	66.11	275.5	1.79	4.46E-05	0.001883489	MEG	76.12	337	4.91E-14	300.5	AT4G16380.1	Heavy metal transport/detoxification superfamily protein 	0.79	0.27686097	0.359290386	MEG	38.49	10654
AT4G26420	2.27	2.19E-06	6.74E-05	MEG	83.76	368	2.88	1.11E-17	1.19E-15	MEG	89.25	73	3.23	0.001113519	0.03414712	MEG	91.25	464	6.50E-24	301.7	AT4G26420.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	2.73	0.086104306	0.139237209	MEG	88.17	8550
AT3G51000	1.83	2.44E-13	1.55E-11	MEG	76.93	179	1.41	0.000352874	0.009647707	MEG	66.52	284.5	1.43	0.000862045	0.027257871	MEG	67.03	450	1.03E-17	304.5	AT3G51000.1	alpha/beta-Hydrolases superfamily protein	3.74	3.83E-21	5.79E-20	MEG	93.34	915
AT1G14970	2.41	4.80E-10	2.25E-08	MEG	85.26	242	1.32	0.001133636	0.02660629	MEG	63.65	332	2.38	9.16E-05	0.003650403	MEG	84.99	357	5.14E-15	310.3	AT1G14970.1	O-fucosyltransferase family protein	1.09	0.361290096	0.443426265	MEG	54.44	11265
AT5G42690	1.29	2.15E-10	1.05E-08	MEG	62.56	233	1.14	3.92E-06	0.000161613	MEG	56.57	189	1.07	0.002325835	0.064890783	MEG	53.35	510	2.36E-16	310.7	AT5G42690.1	Protein of unknown function, DUF547	10.65	3.53E-56	1.79E-54	MEG	99.13	273
AT3G20340	1.70	7.61E-08	2.89E-06	MEG	74.24	298	1.93	5.47E-06	0.000218528	MEG	78.87	195	2.47	0.000749255	0.023903912	MEG	85.88	446	2.93E-14	313.0	NA	NA	7.09	1.07E-06	4.98E-06	MEG	98.05	2958
AT2G21450	-2.76	9.32E-08	3.49E-06	PEG	88.36	303	-1.89	5.93E-06	0.000235885	PEG	78.20	196	-2.47	0.00068297	0.021887355	PEG	85.96	444	1	314.3	AT2G21450.1	chromatin remodeling 34	NA	NA	NA	NA	NA	6913
AT4G30440	1.26	3.83E-11	2.00E-09	MEG	61.18	217	0.66	0.000344133	0.009475202	MEG	30.21	283	1.11	0.001079676	0.033252615	MEG	55.36	462	1.56E-15	320.7	AT4G30440.1	UDP-D-glucuronate 4-epimerase 1	2.76	2.08E-09	1.33E-08	MEG	88.42	2162
AT4G03110	1.14	4.94E-07	1.68E-05	MEG	56.52	333	1.94	1.79E-07	9.22E-06	MEG	78.95	151	1.14	0.001951216	0.05608858	MEG	56.42	495	1.67E-14	326.3	AT4G03110.1	RNA-binding protein-defense related 1	-2.94	3.10E-07	1.57E-06	PEG	89.62	2728
AT1G59890	-1.96	7.95E-05	0.001832865	PEG	79.39	492.5	-1.66	5.60E-07	2.70E-05	PEG	73.34	162	-3.24	3.80E-05	0.001631536	PEG	91.28	331	1	328.5	AT1G59890.1	SIN3-like 5	-1.28	0.000136286	0.000449067	PEG	61.96	4196
AT2G30490	1.73	1.92E-06	5.94E-05	MEG	74.85	366	0.77	0.002332827	0.04834411	MEG	37.41	376	1.74	5.66E-07	3.26E-05	MEG	75.25	247	2.13E-13	329.7	NA	NA	7.08	4.61E-43	1.63E-41	MEG	98.04	391
AT2G33830	2.73	2.78E-07	9.91E-06	MEG	88.20	318	1.58	5.47E-15	4.79E-13	MEG	71.39	89	1.93	0.005682485	0.136812314	MEG	78.87	591	1.70E-21	332.7	NA	NA	6.07	0.000739078	0.00211958	MEG	97.36	4821
AT4G16760	1.27	4.43E-07	1.52E-05	MEG	61.59	330.5	0.82	0.000568118	0.01456177	MEG	40.39	304	1.40	0.000150541	0.005681823	MEG	66.29	377	2.74E-12	337.2	AT4G16760.1	acyl-CoA oxidase 1	-0.49	0.031007387	0.058351454	PEG	19.28	7347
AT3G22810	1.83	2.42E-06	7.36E-05	MEG	77.09	373	2.03	1.27E-14	1.08E-12	MEG	80.49	91	2.02	0.003716862	0.096333758	MEG	80.35	549	2.04E-20	337.7	NA	NA	-1.78	0.00066141	0.001915513	PEG	76.07	4774
AT1G20680	3.43	3.21E-05	0.000807299	MEG	92.15	450.5	4.98	2.16E-06	9.16E-05	MEG	96.13	183	7.20	0.000204181	0.007430396	MEG	98.11	391	1.08E-12	341.5	AT1G20680.1	Protein of unknown function (DUF833)	8.02	1.07E-197	6.42E-195	MEG	98.47	23
AT5G42235	1.32	1.61E-08	6.53E-07	MEG	63.58	280	1.10	0.000112647	0.003687994	MEG	54.62	238	1.30	0.002357256	0.065638749	MEG	62.97	511	3.50E-13	343.0	AT5G42235.1	Expressed protein	1.05	2.03E-21	3.14E-20	MEG	52.53	896
AT4G08590	-1.34	4.83E-10	2.25E-08	PEG	64.24	243	-0.64	0.003086804	0.059831788	PEG	29.34	402	-1.51	0.000350861	0.012266336	PEG	69.42	407	0.999999999	350.7	AT4G08590.1	ORTHRUS-like	-0.51	0.373966705	0.456190547	PEG	20.93	11333.5
AT4G13460	-1.66	1.00E-05	0.000277978	PEG	73.35	408.5	-1.16	0.001930356	0.042250944	PEG	57.24	356	-1.57	1.64E-05	0.000789735	PEG	71.01	296	1	353.5	AT4G13460.1	SU(VAR)3-9 homolog 9	0.39	0.043485304	0.078030865	MEG	12.97	7705
AT2G34880	5.62	6.69E-08	2.56E-06	MEG	96.93	296	3.58	4.06E-06	0.000166523	MEG	92.77	190	4.10	0.00493819	0.121748285	MEG	94.39	576.5	1.17E-13	354.2	NA	NA	NA	NA	NA	NA	NA	6913
AT5G55930	4.11	2.89E-30	4.68E-28	MEG	94.41	70	2.07	0.033594615	0.326803043	MEG	81.11	796.5	4.09	1.36E-08	9.43E-07	MEG	94.37	205	7.08E-37	357.2	AT5G55930.1	oligopeptide transporter 1	NA	NA	NA	NA	NA	6913
AT5G05940	1.94	0.000242515	0.004877384	MEG	79.08	564	2.75	8.11E-05	0.002723372	MEG	88.30	232	2.89	6.07E-06	0.000311558	MEG	89.33	277	8.05E-12	357.7	AT5G05940.1	ROP guanine nucleotide exchange factor 5	-2.05	0.090398813	0.145028311	PEG	80.72	8617
AT1G30530	2.64	4.06E-19	4.01E-17	MEG	87.45	115	0.65	0.033531454	0.326803043	MEG	29.56	796.5	2.82	6.36E-10	5.29E-08	MEG	88.81	171	2.65E-27	360.8	AT1G30530.1	UDP-glucosyl transferase 78D1	5.13	1.36E-34	3.72E-33	MEG	96.34	505
AT5G02540	3.13	0.000279317	0.005529313	MEG	90.76	573	4.04	0.000707264	0.017550956	MEG	94.22	314	6.85	2.51E-08	1.69E-06	MEG	97.91	212	4.03E-13	366.3	AT5G02540.1	NAD(P)-binding Rossmann-fold superfamily protein	3.49	5.97E-81	5.43E-79	MEG	92.41	152
AT1G07250	2.26	3.69E-07	1.29E-05	MEG	83.65	323.5	1.77	3.56E-15	3.19E-13	MEG	75.84	87	2.17	0.012966765	0.263996559	MEG	82.45	698.5	3.29E-21	369.7	AT1G07250.1	UDP-glucosyl transferase 71C4	3.43	1.09E-14	1.10E-13	MEG	92.15	1376
AT1G09560	2.87	1.14E-09	5.17E-08	MEG	89.17	251	1.21	0.015578936	0.198676059	MEG	59.43	611	2.26	6.93E-07	3.94E-05	MEG	83.64	250.5	1.36E-15	370.8	AT1G09560.1	germin-like protein 5	2.44	1.86E-23	3.22E-22	MEG	85.59	799
AT4G16130	1.35	3.29E-05	0.000821108	MEG	64.49	454	1.16	1.22E-05	0.000468964	MEG	57.39	203	1.95	0.001060996	0.032819384	MEG	79.22	459	2.66E-11	372.0	AT4G16130.1	arabinose kinase	3.43	1.30E-45	4.91E-44	MEG	92.17	365
AT2G28890	1.80	6.31E-06	0.000179027	MEG	76.50	400	1.32	1.12E-06	5.07E-05	MEG	63.49	171.5	1.45	0.004561511	0.114041476	MEG	67.73	569.5	2.35E-12	380.3	AT2G28890.1	poltergeist like 4	1.54	0.025284989	0.048696234	MEG	70.45	7179
AT4G14270	2.56	7.86E-08	2.98E-06	MEG	86.78	299	1.45	0.000218686	0.006382018	MEG	67.85	267	1.63	0.006153271	0.145924831	MEG	72.65	600	7.19E-12	388.7	AT4G14270.1		2.77	1.36E-11	1.06E-10	MEG	88.47	1762
AT5G58560	2.24	4.84E-07	1.66E-05	MEG	83.34	332	1.23	0.000574233	0.014622294	MEG	60.25	306	1.39	0.003059424	0.081828101	MEG	65.85	531.5	5.07E-11	389.8	AT5G58560.1	Phosphatidate cytidylyltransferase family protein	3.73	6.21E-06	2.60E-05	MEG	93.31	3300
AT5G38140	2.70	1.20E-06	3.88E-05	MEG	87.94	350	3.44	0.00516766	0.090081448	MEG	92.22	446.5	2.48	0.000136397	0.00517546	MEG	86.05	374.5	5.04E-11	390.3	AT5G38140.1	nuclear factor Y, subunit C12	0.57	0.394061064	0.476332249	MEG	24.80	11438
AT5G52810	1.25	0.000164253	0.003502108	MEG	60.84	532	1.20	0.000572139	0.014616748	MEG	58.91	305	1.87	4.52E-05	0.001896083	MEG	77.76	339	2.27E-10	392.0	AT5G52810.1	NAD(P)-binding Rossmann-fold superfamily protein	4.23	1.39E-128	3.00E-126	MEG	94.71	64
AT4G12720	1.63	2.26E-05	0.000585058	MEG	72.57	437	1.72	2.31E-05	0.00085286	MEG	74.67	210.5	1.31	0.003502296	0.091944972	MEG	63.35	542	1.04E-10	396.5	AT4G12720.1	MutT/nudix family protein	1.96	1.60E-07	8.40E-07	MEG	79.27	2638
AT4G13345	1.42	5.59E-05	0.001328905	MEG	66.78	477	1.06	0.000130798	0.0041096	MEG	53.10	248	1.71	0.001283643	0.038696944	MEG	74.50	472	4.76E-10	399.0	AT4G13345.1	Serinc-domain containing serine and sphingolipid biosynthesis protein	7.15	6.10E-07	2.97E-06	MEG	98.08	2840
AT4G03930	4.73	5.23E-05	0.001257859	MEG	95.71	472	3.43	0.005352172	0.092882243	MEG	92.17	449	7.02	6.17E-06	0.0003158	MEG	98.01	278	9.84E-11	399.7	AT4G03930.1	Plant invertase/pectin methylesterase inhibitor superfamily	8.69	5.80E-16	6.43E-15	MEG	98.69	1247
AT1G17770	-3.28	2.18E-10	1.05E-08	PEG	91.47	234	-2.12	0.001266137	0.029362318	PEG	81.79	336	-2.73	0.009325339	0.204768903	PEG	88.19	648	0.999999975	406.0	AT1G17770.1	SU(VAR)3-9 homolog 7	-5.88	8.97E-24	1.58E-22	PEG	97.19	787
AT4G13840	2.23	0.000319059	0.006193488	MEG	83.26	584.5	2.23	3.42E-06	0.00014166	MEG	83.26	188	3.59	0.001066123	0.032906419	MEG	92.78	461	6.79E-11	411.2	AT4G13840.1	HXXXD-type acyl-transferase family protein	6.72	1.12E-124	2.31E-122	MEG	97.84	67
AT4G17100	3.19	5.63E-06	0.000160472	MEG	91.04	398	2.18	2.29E-10	1.48E-08	MEG	82.62	120	3.11	0.015872435	0.310231968	MEG	90.64	727.5	2.20E-15	415.2	AT4G17100.1		7.51	2.19E-07	1.13E-06	MEG	98.26	2681
AT4G23020	1.83	9.00E-05	0.002029696	MEG	76.96	503	0.99	2.07E-05	0.000772961	MEG	49.58	209	2.56	0.003172406	0.084059901	MEG	86.80	537	3.10E-10	416.3	AT4G23020.1		10.47	8.10E-49	3.41E-47	MEG	99.10	329
